#module,uid,ProducerName,switches,file,rank,flushes,record_id,exe,max_byte,type,job_id,op,cnt,schema,seg:off,seg:pt_sel,seg:dur,seg:len,seg:ndims,seg:reg_hslab,seg:irreg_hslab,seg:npoints,seg:timestamp,seg:total,seg:start
STDIO,12345,n1119,-1,<STDIN>,0,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.000000,-1,-1,-1,-1,-1,1713585247.463272,0.000000,0.000000
STDIO,12345,n1119,-1,<STDOUT>,0,-1,9223372036854775807,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.000000,-1,-1,-1,-1,-1,1713585247.463272,0.000000,0.000000
STDIO,12345,n1119,-1,<STDERR>,0,-1,7238257241479193519,/projects/ovis/darshanConnector/apps/rhel9.7/ior/build/bin/ior,-1,MET,19047177,open,1,darshan_data,-1,-1,0.000000,-1,-1,-1,-1,-1,1713585247.463272,0.000000,0.000000
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,51,MOD,19047177,write,1,N/A,0,-1,0.000004,52,-1,-1,-1,-1,1713585247.530934,0.000004,0.067659
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,98,MOD,19047177,write,2,N/A,52,-1,0.000001,47,-1,-1,-1,-1,1713585247.531308,0.000005,0.068035
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,120,MOD,19047177,write,3,N/A,99,-1,0.000000,22,-1,-1,-1,-1,1713585247.531324,0.000005,0.068051
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,182,MOD,19047177,write,4,N/A,121,-1,0.000000,62,-1,-1,-1,-1,1713585247.531332,0.000005,0.068060
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,185,MOD,19047177,write,5,N/A,183,-1,0.000000,3,-1,-1,-1,-1,1713585247.531342,0.000006,0.068070
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,187,MOD,19047177,write,6,N/A,186,-1,0.000000,2,-1,-1,-1,-1,1713585247.531347,0.000006,0.068075
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,190,MOD,19047177,write,7,N/A,188,-1,0.000000,3,-1,-1,-1,-1,1713585247.531352,0.000006,0.068080
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,194,MOD,19047177,write,8,N/A,191,-1,0.000000,4,-1,-1,-1,-1,1713585247.531359,0.000006,0.068087
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,197,MOD,19047177,write,9,N/A,195,-1,0.000000,3,-1,-1,-1,-1,1713585247.531364,0.000006,0.068092
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,200,MOD,19047177,write,10,N/A,198,-1,0.000000,3,-1,-1,-1,-1,1713585247.531369,0.000006,0.068097
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,203,MOD,19047177,write,11,N/A,201,-1,0.000000,3,-1,-1,-1,-1,1713585247.531373,0.000006,0.068101
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,206,MOD,19047177,write,12,N/A,204,-1,0.000000,3,-1,-1,-1,-1,1713585247.531378,0.000006,0.068106
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,209,MOD,19047177,write,13,N/A,207,-1,0.000000,3,-1,-1,-1,-1,1713585247.531383,0.000006,0.068111
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,212,MOD,19047177,write,14,N/A,210,-1,0.000000,3,-1,-1,-1,-1,1713585247.531392,0.000007,0.068120
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,215,MOD,19047177,write,15,N/A,213,-1,0.000000,3,-1,-1,-1,-1,1713585247.531397,0.000007,0.068125
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,218,MOD,19047177,write,16,N/A,216,-1,0.000000,3,-1,-1,-1,-1,1713585247.531402,0.000007,0.068130
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,221,MOD,19047177,write,17,N/A,219,-1,0.000000,3,-1,-1,-1,-1,1713585247.531406,0.000007,0.068135
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,255,MOD,19047177,write,18,N/A,222,-1,0.000000,34,-1,-1,-1,-1,1713585247.531411,0.000007,0.068139
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,256,MOD,19047177,write,19,N/A,256,-1,0.000000,1,-1,-1,-1,-1,1713585247.531436,0.000007,0.068164
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,278,MOD,19047177,write,20,N/A,257,-1,0.000000,22,-1,-1,-1,-1,1713585247.531446,0.000008,0.068174
STDIO,12345,n1119,-1,N/A,0,0,9223372036854775807,N/A,290,MOD,19047177,write,21,N/A,279,-1,0.000000,12,-1,-1,-1,-1,1713585247.531455,0.000008,0.068182
