hostname,timestamp,memory_available_percent,memory_available,cpu_load,bytes_sent_eth0,bytes_recv_eth0,bytes_sent_lo,bytes_recv_lo,ctx_switches,interrupts,soft_interrupts
ip-172-31-26-212,2024-04-15 16:16:16.101683,62.2,619597824,1.0,0.0,207.42051087702347,0.0,0.0,660386,362755,346489
ip-172-31-26-212,2024-04-15 16:16:17.102769,62.2,619597824,0.0,0.0,0.0,0.0,0.0,660404,362779,346501
ip-172-31-26-212,2024-04-15 16:16:18.103883,62.2,619597824,0.0,0.0,0.0,0.0,0.0,660433,362815,346519
ip-172-31-26-212,2024-04-15 16:16:19.104984,62.2,619597824,0.0,0.0,0.0,0.0,0.0,660454,362843,346532
ip-172-31-26-212,2024-04-15 16:16:20.106076,62.2,619597824,0.0,0.0,0.0,0.0,0.0,660477,362871,346545
ip-172-31-26-212,2024-04-15 16:16:21.107173,62.2,619597824,0.0,0.0,0.0,0.0,0.0,660505,362907,346561
ip-172-31-26-212,2024-04-15 16:16:22.108301,62.2,619597824,0.0,0.0,0.0,0.0,0.0,660526,362941,346576
ip-172-31-26-212,2024-04-15 16:16:23.109402,62.2,619597824,0.0,0.0,0.0,0.0,0.0,660542,362959,346584
ip-172-31-26-212,2024-04-15 16:16:24.110522,62.2,619597824,0.0,0.0,0.0,0.0,0.0,660567,362991,346598
ip-172-31-26-212,2024-04-15 16:16:25.111647,62.2,619597824,1.0,0.0,0.0,0.0,0.0,660587,363015,346610
ip-172-31-26-212,2024-04-15 16:16:26.112769,62.2,619597824,0.0,0.0,0.0,0.0,0.0,660608,363045,346624
ip-172-31-26-212,2024-04-15 16:16:27.113908,62.2,619597824,0.0,0.0,0.0,0.0,0.0,660629,363069,346635
ip-172-31-26-212,2024-04-15 16:16:28.115020,62.2,619597824,0.0,89.89720654425949,75.91319663737468,0.0,0.0,660665,363113,346656
ip-172-31-26-212,2024-04-15 16:16:29.116118,62.2,619606016,0.0,93.89829541300267,155.8312136641321,0.0,0.0,660684,363149,346671
ip-172-31-26-212,2024-04-15 16:16:30.117218,62.2,619606016,0.0,0.0,0.0,0.0,0.0,660701,363175,346682
ip-172-31-26-212,2024-04-15 16:16:31.118345,62.2,619606016,0.0,0.0,0.0,0.0,0.0,660732,363209,346695
ip-172-31-26-212,2024-04-15 16:16:32.119443,62.2,619606016,0.0,0.0,0.0,0.0,0.0,660749,363233,346706
ip-172-31-26-212,2024-04-15 16:16:33.120564,62.2,619606016,0.0,0.0,0.0,0.0,0.0,660770,363259,346718
ip-172-31-26-212,2024-04-15 16:16:34.121704,62.2,619606016,0.0,0.0,0.0,0.0,0.0,660789,363287,346730
ip-172-31-26-212,2024-04-15 16:16:35.122819,62.2,619606016,0.0,0.0,0.0,0.0,0.0,660812,363313,346743
ip-172-31-26-212,2024-04-15 16:16:36.123922,62.2,619606016,0.0,0.0,0.0,0.0,0.0,660836,363361,346765
ip-172-31-26-212,2024-04-15 16:16:37.125085,62.2,619606016,0.0,0.0,0.0,0.0,0.0,660857,363393,346779
ip-172-31-26-212,2024-04-15 16:16:38.126231,62.2,619606016,0.0,0.0,0.0,0.0,0.0,660874,363417,346790
ip-172-31-26-212,2024-04-15 16:16:39.127349,62.2,619606016,0.0,0.0,0.0,0.0,0.0,660896,363445,346803
ip-172-31-26-212,2024-04-15 16:16:40.128469,62.2,619606016,0.0,0.0,0.0,0.0,0.0,660914,363471,346814
ip-172-31-26-212,2024-04-15 16:16:41.129595,62.2,619606016,0.0,0.0,0.0,0.0,0.0,660933,363497,346826
ip-172-31-26-212,2024-04-15 16:16:42.130721,62.2,619606016,0.0,0.0,0.0,0.0,0.0,660954,363525,346840
ip-172-31-26-212,2024-04-15 16:16:43.131853,62.2,619606016,0.0,0.0,0.0,0.0,0.0,660974,363551,346852
ip-172-31-26-212,2024-04-15 16:16:44.132985,62.2,619606016,0.0,89.8970566837187,75.91307008847357,0.0,0.0,661001,363585,346868
ip-172-31-26-212,2024-04-15 16:16:45.134101,62.2,619606016,0.0,0.0,0.0,0.0,0.0,661020,363607,346878
ip-172-31-26-212,2024-04-15 16:16:46.135222,62.2,619606016,0.0,93.89315223321697,155.82267817427496,0.0,0.0,661040,363643,346895
ip-172-31-26-212,2024-04-15 16:16:47.136341,62.2,619606016,0.0,0.0,0.0,0.0,0.0,661059,363667,346906
ip-172-31-26-212,2024-04-15 16:16:48.137437,62.2,619606016,0.0,0.0,0.0,0.0,0.0,661080,363695,346918
ip-172-31-26-212,2024-04-15 16:16:49.138558,62.2,619606016,0.0,0.0,0.0,0.0,0.0,661107,363723,346932
ip-172-31-26-212,2024-04-15 16:16:50.139111,62.2,619606016,2.0,101.94217862059155,139.92063732238054,0.0,0.0,661128,363759,346947
