uid,exe,job_id,rank,ProducerName,file,record_id,module,type,max_byte,switches,flushes,cnt,op,pt_sel,irreg_hslab,reg_hslab,ndims,npoints,off,len,start,dur,total,timestamp
12345,N/A,17209778,0,ec3,<STDIN>,92233720368547758,STDIO,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,1694923004.848755
12345,N/A,17209778,0,ec3,<STDOUT>,92233720368547758,STDIO,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,1694923004.848755
12345,N/A,17209778,0,ec3,<STDERR>,72382572414791935,STDIO,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,1694923004.848755
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17209778,13,ec9,/pscratch/user/haccTest/darshan-Part00000013-of-00000032.data,59370407479498209,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,3.480785,0.003448,0.003448,1694923008.332005
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17209778,29,ec17,/pscratch/user/haccTest/darshan-Part00000029-of-00000032.data,83118260215343167,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,3.480684,0.003709,0.003709,1694923008.332040
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17209778,7,ec6,/pscratch/user/haccTest/darshan-Part00000007-of-00000032.data,56447587063848955,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,3.480523,0.003419,0.003419,1694923008.332046
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17209778,31,ec18,/pscratch/user/haccTest/darshan-Part00000031-of-00000032.data,92233720368547758,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,3.480155,0.003457,0.003457,1694923008.332155
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17209778,17,ec11,/pscratch/user/haccTest/darshan-Part00000017-of-00000032.data,92233720368547758,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,3.479753,0.003442,0.003442,1694923008.332264
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17209778,9,ec7,/pscratch/user/haccTest/darshan-Part00000009-of-00000032.data,41601901209895712,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,3.480752,0.003633,0.003633,1694923008.332326
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17209778,21,ec13,/pscratch/user/haccTest/darshan-Part00000021-of-00000032.data,96713075720259540,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,3.480354,0.003693,0.003693,1694923008.332346
