uid,exe,job_id,rank,ProducerName,file,record_id,module,type,max_byte,switches,flushes,cnt,op,pt_sel,irreg_hslab,reg_hslab,ndims,npoints,off,len,start,dur,total,timestamp
12345,N/A,17210641,0,ec95,<STDIN>,92233720368547758,STDIO,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,1694925791.991306
12345,N/A,17210641,0,ec95,<STDOUT>,92233720368547758,STDIO,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,1694925791.991306
12345,N/A,17210641,0,ec95,<STDERR>,72382572414791935,STDIO,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,1694925791.991306
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17210641,1,ec95,/pscratch/user/haccTest/darshan-Part00000001-of-00000032.data,92233720368547758,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,2.473743,0.001219,0.001219,1694925794.466317
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17210641,15,ec782,/pscratch/user/haccTest/darshan-Part00000015-of-00000032.data,92233720368547758,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,2.472806,0.002534,0.002534,1694925794.467562
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17210641,13,ec781,/pscratch/user/haccTest/darshan-Part00000013-of-00000032.data,59370407479498209,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,2.473241,0.002690,0.002690,1694925794.467893
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17210641,25,ec841,/pscratch/user/haccTest/darshan-Part00000025-of-00000032.data,92233720368547758,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,2.471486,0.003754,0.003754,1694925794.467946
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17210641,2,ec96,/pscratch/user/haccTest/darshan-Part00000002-of-00000032.data,68826160409614857,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,2.473712,0.002959,0.002959,1694925794.467989
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17210641,4,ec97,/pscratch/user/haccTest/darshan-Part00000004-of-00000032.data,92233720368547758,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,2.472781,0.002781,0.002781,1694925794.468008
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17210641,27,ec842,/pscratch/user/haccTest/darshan-Part00000027-of-00000032.data,26172714036937621,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,2.472187,0.003823,0.003823,1694925794.468017
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17210641,11,ec453,/pscratch/user/haccTest/darshan-Part00000011-of-00000032.data,59441928754130586,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,2.474001,0.002921,0.002921,1694925794.468022
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17210641,16,ec783,/pscratch/user/haccTest/darshan-Part00000016-of-00000032.data,40221565288341461,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,2.473123,0.002849,0.002849,1694925794.468031
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17210641,30,ec844,/pscratch/user/haccTest/darshan-Part00000030-of-00000032.data,92233720368547758,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,2.472763,0.002785,0.002785,1694925794.468044
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17210641,21,ec785,/pscratch/user/haccTest/darshan-Part00000021-of-00000032.data,96713075720259540,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,2.473692,0.003025,0.003025,1694925794.468099
12345,/projects/ovis/omar/redHat7.9_run/hacc-io/hacc_io,17210641,18,ec784,/pscratch/user/haccTest/darshan-Part00000018-of-00000032.data,92233720368547758,POSIX,MET,-1,-1,-1,1,open,-1,-1,-1,-1,-1,-1,-1,2.474134,0.002747,0.002747,1694925794.468189
