# darshan log version: 3.41
# compression method: ZLIB
# exe: 
# uid: 12345
# jobid: 17209778
# start_time: 1694923004
# start_time_asci: Sat Sep 16 21:56:44 2023
# end_time: 1694923021
# end_time_asci: Sat Sep 16 21:57:01 2023
# nprocs: 32
# run time: 16.7282
# metadata: lib_ver = 3.4.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 144 bytes (compressed)
# record table: 2416 bytes (compressed)
# POSIX module: 5687 bytes (compressed), ver=4
# LUSTRE module: 1205 bytes (compressed), ver=1
# STDIO module: 57 bytes (compressed), ver=2
# DXT_POSIX module: 10459 bytes (compressed), ver=1
# HEATMAP module: 8045 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 11565115021251038815, file_name: /pscratch/user/haccTest/darshan-Part00000000-of-00000032.data
# DXT, rank: 0, hostname: ec3
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824       400000000      3.5149      5.3297
 X_POSIX       0  write        1       425165824       400000000      5.3299      5.9768
 X_POSIX       0  write        2       825165824       400000000      5.9769      6.6056
 X_POSIX       0  write        3      1225165824       400000000      6.6058      7.3372
 X_POSIX       0  write        4      1625165824       400000000      7.3373      7.8381
 X_POSIX       0  write        5      2025165824       400000000      7.8382      8.3044
 X_POSIX       0  write        6      2425165824       400000000      8.3045      8.7757
 X_POSIX       0  write        7      2825165824       800000000      8.7758      9.7487
 X_POSIX       0  write        8      3625165824       200000000      9.7488      9.9659
 X_POSIX       0  write        9               0        25165824      9.9660      9.9925
 X_POSIX       0   read        0               0        25165824     11.8246     11.8399
 X_POSIX       0   read        1        25165824       400000000     11.8415     12.0851
 X_POSIX       0   read        2       425165824       400000000     12.0852     12.3224
 X_POSIX       0   read        3       825165824       400000000     12.3226     12.5544
 X_POSIX       0   read        4      1225165824       400000000     12.5545     12.7874
 X_POSIX       0   read        5      1625165824       400000000     12.7875     13.0452
 X_POSIX       0   read        6      2025165824       400000000     13.0453     13.2868
 X_POSIX       0   read        7      2425165824       400000000     13.2868     13.5221
 X_POSIX       0   read        8      2825165824       800000000     13.5222     13.9869
 X_POSIX       0   read        9      3625165824       200000000     13.9870     14.1036

