# darshan log version: 3.41
# compression method: ZLIB
# exe: 
# uid: 99066
# jobid: 17209783
# start_time: 1694923057
# start_time_asci: Sat Sep 16 21:57:37 2023
# end_time: 1694923077
# end_time_asci: Sat Sep 16 21:57:57 2023
# nprocs: 32
# run time: 20.0427
# metadata: lib_ver = 3.4.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 144 bytes (compressed)
# record table: 2416 bytes (compressed)
# POSIX module: 5668 bytes (compressed), ver=4
# LUSTRE module: 1203 bytes (compressed), ver=1
# STDIO module: 57 bytes (compressed), ver=2
# DXT_POSIX module: 10511 bytes (compressed), ver=1
# HEATMAP module: 6809 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 11565115021251038815, file_name: /pscratch/spwalto/haccTest/darshan-Part00000000-of-00000032.data
# DXT, rank: 0, hostname: ec3
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824       400000000      2.7957      3.2117
 X_POSIX       0  write        1       425165824       400000000      3.2118      3.6288
 X_POSIX       0  write        2       825165824       400000000      3.6289      4.0685
 X_POSIX       0  write        3      1225165824       400000000      4.0686      4.5176
 X_POSIX       0  write        4      1625165824       400000000      4.5177      4.9653
 X_POSIX       0  write        5      2025165824       400000000      4.9654      5.4137
 X_POSIX       0  write        6      2425165824       400000000      5.4137      5.8684
 X_POSIX       0  write        7      2825165824       800000000      5.8685      6.8545
 X_POSIX       0  write        8      3625165824       200000000      6.8546      7.4096
 X_POSIX       0  write        9               0        25165824      7.4097      7.4850
 X_POSIX       0   read        0               0        25165824     14.9863     15.0008
 X_POSIX       0   read        1        25165824       400000000     15.0024     15.2499
 X_POSIX       0   read        2       425165824       400000000     15.2501     15.4793
 X_POSIX       0   read        3       825165824       400000000     15.4794     15.7065
 X_POSIX       0   read        4      1225165824       400000000     15.7066     15.9368
 X_POSIX       0   read        5      1625165824       400000000     15.9368     16.1758
 X_POSIX       0   read        6      2025165824       400000000     16.1759     16.4065
 X_POSIX       0   read        7      2425165824       400000000     16.4065     16.6414
 X_POSIX       0   read        8      2825165824       800000000     16.6415     17.0974
 X_POSIX       0   read        9      3625165824       200000000     17.0975     17.2130

# DXT, file_id: 10331366759179474848, file_name: /pscratch/spwalto/haccTest/darshan-Part00000001-of-00000032.data
# DXT, rank: 1, hostname: ec3
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0        25165824       400000000      2.9155      3.3349
 X_POSIX       1  write        1       425165824       400000000      3.3350      3.7551
 X_POSIX       1  write        2       825165824       400000000      3.7552      4.1945
 X_POSIX       1  write        3      1225165824       400000000      4.1946      4.6550
 X_POSIX       1  write        4      1625165824       400000000      4.6550      5.0982
 X_POSIX       1  write        5      2025165824       400000000      5.0982      5.5377
 X_POSIX       1  write        6      2425165824       400000000      5.5378      5.9801
 X_POSIX       1  write        7      2825165824       800000000      5.9802      6.8950
 X_POSIX       1  write        8      3625165824       200000000      6.8951      7.1109
 X_POSIX       1  write        9               0        25165824      7.1110      7.1378
 X_POSIX       1   read        0               0        25165824      7.1412      7.1542
 X_POSIX       1   read        1        25165824       400000000      7.1559      7.4047
 X_POSIX       1   read        2       425165824       400000000      7.4048      7.6539
 X_POSIX       1   read        3       825165824       400000000      7.6540      7.8935
 X_POSIX       1   read        4      1225165824       400000000      7.8936      8.1324
 X_POSIX       1   read        5      1625165824       400000000      8.1324      8.3848
 X_POSIX       1   read        6      2025165824       400000000      8.3849      8.6255
 X_POSIX       1   read        7      2425165824       400000000      8.6255      8.8632
 X_POSIX       1   read        8      2825165824       800000000      8.8633      9.3343
 X_POSIX       1   read        9      3625165824       200000000      9.3344      9.4523

# DXT, file_id: 688261604096148575, file_name: /pscratch/spwalto/haccTest/darshan-Part00000002-of-00000032.data
# DXT, rank: 2, hostname: ec4
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0        25165824       400000000      3.0306      3.4597
 X_POSIX       2  write        1       425165824       400000000      3.4598      3.9005
 X_POSIX       2  write        2       825165824       400000000      3.9005      4.4570
 X_POSIX       2  write        3      1225165824       400000000      4.4571      4.9719
 X_POSIX       2  write        4      1625165824       400000000      4.9720      5.4540
 X_POSIX       2  write        5      2025165824       400000000      5.4541      5.9388
 X_POSIX       2  write        6      2425165824       400000000      5.9388      6.4336
 X_POSIX       2  write        7      2825165824       800000000      6.4337      7.4154
