# darshan log version: 3.41
# compression method: ZLIB
# exe: 
# uid: 12345
# jobid: 17218965
# start_time: 1694979993
# start_time_asci: Sun Sep 17 13:46:33 2023
# end_time: 1694980005
# end_time_asci: Sun Sep 17 13:46:45 2023
# nprocs: 32
# run time: 12.8322
# metadata: lib_ver = 3.4.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 143 bytes (compressed)
# record table: 2416 bytes (compressed)
# POSIX module: 5643 bytes (compressed), ver=4
# LUSTRE module: 1202 bytes (compressed), ver=1
# STDIO module: 57 bytes (compressed), ver=2
# DXT_POSIX module: 10467 bytes (compressed), ver=1
# HEATMAP module: 7871 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 11565115021251038815, file_name: /pscratch/user/haccTest/darshan-Part00000000-of-00000032.data
# DXT, rank: 0, hostname: ec1
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824       400000000      2.7176      3.1341
 X_POSIX       0  write        1       425165824       400000000      3.1343      3.5744
 X_POSIX       0  write        2       825165824       400000000      3.5745      4.0362
 X_POSIX       0  write        3      1225165824       400000000      4.0363      4.5282
 X_POSIX       0  write        4      1625165824       400000000      4.5283      5.0088
 X_POSIX       0  write        5      2025165824       400000000      5.0089      5.4911
 X_POSIX       0  write        6      2425165824       400000000      5.4912      5.9833
 X_POSIX       0  write        7      2825165824       800000000      5.9834      6.9758
 X_POSIX       0  write        8      3625165824       200000000      6.9759      7.2192
 X_POSIX       0  write        9               0        25165824      7.2193      7.2483
 X_POSIX       0   read        0               0        25165824      8.1741      8.1902
 X_POSIX       0   read        1        25165824       400000000      8.1920      8.4572
 X_POSIX       0   read        2       425165824       400000000      8.4572      8.7093
 X_POSIX       0   read        3       825165824       400000000      8.7094      8.9604
 X_POSIX       0   read        4      1225165824       400000000      8.9605      9.2098
 X_POSIX       0   read        5      1625165824       400000000      9.2099      9.4663
 X_POSIX       0   read        6      2025165824       400000000      9.4663      9.7195
 X_POSIX       0   read        7      2425165824       400000000      9.7196      9.9611
 X_POSIX       0   read        8      2825165824       800000000      9.9612     10.4450
 X_POSIX       0   read        9      3625165824       200000000     10.4451     10.5664

# DXT, file_id: 10331366759179474848, file_name: /pscratch/user/haccTest/darshan-Part00000001-of-00000032.data
# DXT, rank: 1, hostname: ec1
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0        25165824       400000000      3.1444      3.5700
 X_POSIX       1  write        1       425165824       400000000      3.5701      3.9899
 X_POSIX       1  write        2       825165824       400000000      3.9900      4.4374
 X_POSIX       1  write        3      1225165824       400000000      4.4375      4.9027
 X_POSIX       1  write        4      1625165824       400000000      4.9028      5.3601
 X_POSIX       1  write        5      2025165824       400000000      5.3601      5.8125
 X_POSIX       1  write        6      2425165824       400000000      5.8126      6.2762
 X_POSIX       1  write        7      2825165824       800000000      6.2764      7.2328
 X_POSIX       1  write        8      3625165824       200000000      7.2328      7.4459
 X_POSIX       1  write        9               0        25165824      7.4460      7.4714
 X_POSIX       1   read        0               0        25165824      7.4769      7.4924
 X_POSIX       1   read        1        25165824       400000000      7.4940      7.7382
 X_POSIX       1   read        2       425165824       400000000      7.7383      7.9721
 X_POSIX       1   read        3       825165824       400000000      7.9722      8.2056
 X_POSIX       1   read        4      1225165824       400000000      8.2056      8.4444
 X_POSIX       1   read        5      1625165824       400000000      8.4445      8.6913
 X_POSIX       1   read        6      2025165824       400000000      8.6914      8.9293
 X_POSIX       1   read        7      2425165824       400000000      8.9294      9.1649
 X_POSIX       1   read        8      2825165824       800000000      9.1650      9.6347
 X_POSIX       1   read        9      3625165824       200000000      9.6348      9.7537

# DXT, file_id: 688261604096148575, file_name: /pscratch/user/haccTest/darshan-Part00000002-of-00000032.data
# DXT, rank: 2, hostname: ec2
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0        25165824       400000000      3.5645      3.9646
 X_POSIX       2  write        1       425165824       400000000      3.9647      4.3836
 X_POSIX       2  write        2       825165824       400000000      4.3837      4.8402
 X_POSIX       2  write        3      1225165824       400000000      4.8402      5.3292
 X_POSIX       2  write        4      1625165824       400000000      5.3292      5.7934
 X_POSIX       2  write        5      2025165824       400000000      5.7935      6.2525
 X_POSIX       2  write        6      2425165824       400000000      6.2526      6.6945
 X_POSIX       2  write        7      2825165824       800000000      6.6946      7.5227
 X_POSIX       2  write        8      3625165824       200000000      7.5228      7.7114
 X_POSIX       2  write        9               0        25165824      7.7115      7.7353
 X_POSIX       2   read        0               0        25165824      7.7392      7.7563
 X_POSIX       2   read        1        25165824       400000000      7.7578      8.0315
 X_POSIX       2   read        2       425165824       400000000      8.0315      8.2846
 X_POSIX       2   read        3       825165824       400000000      8.2847      8.5247
 X_POSIX       2   read        4      1225165824       400000000      8.5248      8.7620
 X_POSIX       2   read        5      1625165824       400000000      8.7621      9.0135
 X_POSIX       2   read        6      2025165824       400000000      9.0136      9.2540
 X_POSIX       2   read        7      2425165824       400000000      9.2541      9.4890
 X_POSIX       2   read        8      2825165824       800000000      9.4891      9.9573
 X_POSIX       2   read        9      3625165824       200000000      9.9574     10.0744

# DXT, file_id: 8041626340763145071, file_name: /pscratch/user/haccTest/darshan-Part00000003-of-00000032.data
# DXT, rank: 3, hostname: ec2
# DXT, write_count: 10, read_count: 10
