# darshan log version: 3.41
# compression method: ZLIB
# exe: 
# uid: 12345
# jobid: 17210635
# start_time: 1694925717
# start_time_asci: Sat Sep 16 22:41:57 2023
# end_time: 1694925725
# end_time_asci: Sat Sep 16 22:42:05 2023
# nprocs: 32
# run time: 7.8205
# metadata: lib_ver = 3.4.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 143 bytes (compressed)
# record table: 2416 bytes (compressed)
# POSIX module: 5682 bytes (compressed), ver=4
# LUSTRE module: 1206 bytes (compressed), ver=1
# STDIO module: 56 bytes (compressed), ver=2
# DXT_POSIX module: 10358 bytes (compressed), ver=1
# HEATMAP module: 6613 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 11565115021251038815, file_name: /pscratch/user/haccTest/darshan-Part00000000-of-00000032.data
# DXT, rank: 0, hostname: ec95
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824       200000000      1.9523      2.1833
 X_POSIX       0  write        1       225165824       200000000      2.1835      2.4072
 X_POSIX       0  write        2       425165824       200000000      2.4073      2.6357
 X_POSIX       0  write        3       625165824       200000000      2.6357      2.8643
 X_POSIX       0  write        4       825165824       200000000      2.8644      3.0999
 X_POSIX       0  write        5      1025165824       200000000      3.1000      3.3385
 X_POSIX       0  write        6      1225165824       200000000      3.3386      3.5624
 X_POSIX       0  write        7      1425165824       400000000      3.5625      3.9832
 X_POSIX       0  write        8      1825165824       100000000      3.9833      4.0846
 X_POSIX       0  write        9               0        25165824      4.0847      4.1089
 X_POSIX       0   read        0               0        25165824      5.2755      5.2901
 X_POSIX       0   read        1        25165824       200000000      5.2915      5.4160
 X_POSIX       0   read        2       225165824       200000000      5.4161      5.5398
 X_POSIX       0   read        3       425165824       200000000      5.5398      5.6579
 X_POSIX       0   read        4       625165824       200000000      5.6579      5.7722
 X_POSIX       0   read        5       825165824       200000000      5.7723      5.8855
 X_POSIX       0   read        6      1025165824       200000000      5.8855      5.9997
 X_POSIX       0   read        7      1225165824       200000000      5.9998      6.1141
 X_POSIX       0   read        8      1425165824       400000000      6.1142      6.3531
 X_POSIX       0   read        9      1825165824       100000000      6.3532      6.4117

# DXT, file_id: 10331366759179474848, file_name: /pscratch/user/haccTest/darshan-Part00000001-of-00000032.data
# DXT, rank: 1, hostname: ec95
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0        25165824       200000000      2.2558      2.4932
 X_POSIX       1  write        1       225165824       200000000      2.4933      2.7126
 X_POSIX       1  write        2       425165824       200000000      2.7126      2.9373
 X_POSIX       1  write        3       625165824       200000000      2.9374      3.1626
 X_POSIX       1  write        4       825165824       200000000      3.1627      3.3921
 X_POSIX       1  write        5      1025165824       200000000      3.3922      3.6347
 X_POSIX       1  write        6      1225165824       200000000      3.6347      3.8777
