# darshan log version: 3.41
# compression method: ZLIB
# exe: 
# uid: 12345
# jobid: 17209722
# start_time: 1694922192
# start_time_asci: Sat Sep 16 21:43:12 2023
# end_time: 1694922339
# end_time_asci: Sat Sep 16 21:45:39 2023
# nprocs: 32
# run time: 147.1352
# metadata: lib_ver = 3.4.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 144 bytes (compressed)
# record table: 2416 bytes (compressed)
# POSIX module: 5730 bytes (compressed), ver=4
# LUSTRE module: 1206 bytes (compressed), ver=1
# STDIO module: 57 bytes (compressed), ver=2
# DXT_POSIX module: 10350 bytes (compressed), ver=1
# HEATMAP module: 3795 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 11565115021251038815, file_name: /pscratch/user/haccTest/darshan-Part00000000-of-00000032.data
# DXT, rank: 0, hostname: ec1
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824       200000000     13.6488     14.1017
 X_POSIX       0  write        1       225165824       200000000     14.1019     14.4504
 X_POSIX       0  write        2       425165824       200000000     14.4505     14.8298
 X_POSIX       0  write        3       625165824       200000000     14.8299     15.1916
 X_POSIX       0  write        4       825165824       200000000     15.1917     15.5796
 X_POSIX       0  write        5      1025165824       200000000     15.5797     15.9392
 X_POSIX       0  write        6      1225165824       200000000     15.9393     16.3162
 X_POSIX       0  write        7      1425165824       400000000     16.3163     17.1133
 X_POSIX       0  write        8      1825165824       100000000     17.1134     17.3304
 X_POSIX       0  write        9               0        25165824     17.3304     17.4088
 X_POSIX       0   read        0               0        25165824    141.9282    141.9611
 X_POSIX       0   read        1        25165824       200000000    141.9629    142.2071
 X_POSIX       0   read        2       225165824       200000000    142.2072    142.4428
 X_POSIX       0   read        3       425165824       200000000    142.4429    142.6795
 X_POSIX       0   read        4       625165824       200000000    142.6796    142.8995
 X_POSIX       0   read        5       825165824       200000000    142.8996    143.1524
 X_POSIX       0   read        6      1025165824       200000000    143.1525    143.3905
 X_POSIX       0   read        7      1225165824       200000000    143.3906    143.6349
 X_POSIX       0   read        8      1425165824       400000000    143.6351    144.1095
 X_POSIX       0   read        9      1825165824       100000000    144.1097    144.2015

# DXT, file_id: 10331366759179474848, file_name: /pscratch/user/haccTest/darshan-Part00000001-of-00000032.data
# DXT, rank: 1, hostname: ec1
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0        25165824       200000000      3.9278     13.0329
 X_POSIX       1  write        1       225165824       200000000     13.0331     14.1797
 X_POSIX       1  write        2       425165824       200000000     14.1798     14.6346
 X_POSIX       1  write        3       625165824       200000000     14.6347     15.1880
 X_POSIX       1  write        4       825165824       200000000     15.1882     15.8767
 X_POSIX       1  write        5      1025165824       200000000     15.8768     16.5613
 X_POSIX       1  write        6      1225165824       200000000     16.5614     17.1311
 X_POSIX       1  write        7      1425165824       400000000     17.1312     18.3539
 X_POSIX       1  write        8      1825165824       100000000     18.3613     18.6862
 X_POSIX       1  write        9               0        25165824     18.6863     18.8195
 X_POSIX       1   read        0               0        25165824     18.8291     18.8911
 X_POSIX       1   read        1        25165824       200000000     18.9113     19.2174
 X_POSIX       1   read        2       225165824       200000000     19.2175     19.4345
 X_POSIX       1   read        3       425165824       200000000     19.4347     19.6115
 X_POSIX       1   read        4       625165824       200000000     19.6116     19.7923
 X_POSIX       1   read        5       825165824       200000000     19.7925     19.9716
 X_POSIX       1   read        6      1025165824       200000000     19.9717     20.2802
 X_POSIX       1   read        7      1225165824       200000000     20.2803     20.5592
 X_POSIX       1   read        8      1425165824       400000000     20.5594     20.9141
 X_POSIX       1   read        9      1825165824       100000000     20.9143     21.0141

# DXT, file_id: 688261604096148575, file_name: /pscratch/user/haccTest/darshan-Part00000002-of-00000032.data
# DXT, rank: 2, hostname: ec2
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0        25165824       200000000      3.0080      3.2491
 X_POSIX       2  write        1       225165824       200000000      3.2492      3.4597
 X_POSIX       2  write        2       425165824       200000000      3.4597      3.6628
 X_POSIX       2  write        3       625165824       200000000      3.6628      3.8663
 X_POSIX       2  write        4       825165824       200000000      3.8664      4.0703
 X_POSIX       2  write        5      1025165824       200000000      4.0703      4.2873
 X_POSIX       2  write        6      1225165824       200000000      4.2874      4.4964
 X_POSIX       2  write        7      1425165824       400000000      4.4965      4.9026
 X_POSIX       2  write        8      1825165824       100000000      4.9027      5.0018
 X_POSIX       2  write        9               0        25165824      5.0018      5.0261
 X_POSIX       2   read        0               0        25165824      5.0302      5.0449
 X_POSIX       2   read        1        25165824       200000000      5.0468      5.1745
 X_POSIX       2   read        2       225165824       200000000      5.1746      5.2988
 X_POSIX       2   read        3       425165824       200000000      5.2989      5.4217
 X_POSIX       2   read        4       625165824       200000000      5.4217      5.5431
 X_POSIX       2   read        5       825165824       200000000      5.5431      5.6664
 X_POSIX       2   read        6      1025165824       200000000      5.6664      5.7891
 X_POSIX       2   read        7      1225165824       200000000      5.7892      5.9128
 X_POSIX       2   read        8      1425165824       400000000      5.9129      6.1605
 X_POSIX       2   read        9      1825165824       100000000      6.1606      6.2209

# DXT, file_id: 8041626340763145071, file_name: /pscratch/user/haccTest/darshan-Part00000003-of-00000032.data
# DXT, rank: 3, hostname: ec2
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       3  write        0        25165824       200000000      3.0201      3.2586
 X_POSIX       3  write        1       225165824       200000000      3.2587      3.4637
 X_POSIX       3  write        2       425165824       200000000      3.4638      3.6630
 X_POSIX       3  write        3       625165824       200000000      3.6631      3.8627
 X_POSIX       3  write        4       825165824       200000000      3.8628      4.0658
 X_POSIX       3  write        5      1025165824       200000000      4.0659      4.2752
 X_POSIX       3  write        6      1225165824       200000000      4.2754      4.4842
 X_POSIX       3  write        7      1425165824       400000000      4.4843      4.8880
