# darshan log version: 3.41
# compression method: ZLIB
# exe: 
# uid: 99066
# jobid: 17209747
# start_time: 1694922577
# start_time_asci: Sat Sep 16 21:49:37 2023
# end_time: 1694922585
# end_time_asci: Sat Sep 16 21:49:45 2023
# nprocs: 32
# run time: 8.1868
# metadata: lib_ver = 3.4.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 143 bytes (compressed)
# record table: 2416 bytes (compressed)
# POSIX module: 5669 bytes (compressed), ver=4
# LUSTRE module: 1202 bytes (compressed), ver=1
# STDIO module: 57 bytes (compressed), ver=2
# DXT_POSIX module: 10318 bytes (compressed), ver=1
# HEATMAP module: 6870 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 11565115021251038815, file_name: /pscratch/spwalto/haccTest/darshan-Part00000000-of-00000032.data
# DXT, rank: 0, hostname: ec1
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824       200000000      1.6556      1.9152
 X_POSIX       0  write        1       225165824       200000000      1.9153      2.1625
 X_POSIX       0  write        2       425165824       200000000      2.1625      2.4328
 X_POSIX       0  write        3       625165824       200000000      2.4328      2.6993
 X_POSIX       0  write        4       825165824       200000000      2.6994      2.9643
 X_POSIX       0  write        5      1025165824       200000000      2.9644      3.2481
 X_POSIX       0  write        6      1225165824       200000000      3.2481      3.5260
 X_POSIX       0  write        7      1425165824       400000000      3.5261      4.0709
 X_POSIX       0  write        8      1825165824       100000000      4.0710      4.2081
 X_POSIX       0  write        9               0        25165824      4.2082      4.2419
 X_POSIX       0   read        0               0        25165824      5.0535      5.0714
 X_POSIX       0   read        1        25165824       200000000      5.0729      5.2435
 X_POSIX       0   read        2       225165824       200000000      5.2436      5.4057
 X_POSIX       0   read        3       425165824       200000000      5.4058      5.5696
 X_POSIX       0   read        4       625165824       200000000      5.5697      5.7324
 X_POSIX       0   read        5       825165824       200000000      5.7325      5.8974
 X_POSIX       0   read        6      1025165824       200000000      5.8975      6.0595
 X_POSIX       0   read        7      1225165824       200000000      6.0596      6.2148
 X_POSIX       0   read        8      1425165824       400000000      6.2149      6.5296
 X_POSIX       0   read        9      1825165824       100000000      6.5297      6.6113

# DXT, file_id: 10331366759179474848, file_name: /pscratch/spwalto/haccTest/darshan-Part00000001-of-00000032.data
# DXT, rank: 1, hostname: ec1
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0        25165824       200000000      1.6575      1.9535
 X_POSIX       1  write        1       225165824       200000000      1.9538      2.2412
 X_POSIX       1  write        2       425165824       200000000      2.2413      2.5356
 X_POSIX       1  write        3       625165824       200000000      2.5357      2.8408
 X_POSIX       1  write        4       825165824       200000000      2.8409      3.1257
 X_POSIX       1  write        5      1025165824       200000000      3.1258      3.4298
 X_POSIX       1  write        6      1225165824       200000000      3.4299      3.7588
 X_POSIX       1  write        7      1425165824       400000000      3.7589      4.3850
 X_POSIX       1  write        8      1825165824       100000000      4.3851      4.5303
 X_POSIX       1  write        9               0        25165824      4.5304      4.5662
 X_POSIX       1   read        0               0        25165824      4.5702      4.5900
 X_POSIX       1   read        1        25165824       200000000      4.5913      4.7522
 X_POSIX       1   read        2       225165824       200000000      4.7523      4.9125
 X_POSIX       1   read        3       425165824       200000000      4.9127      5.0665
 X_POSIX       1   read        4       625165824       200000000      5.0666      5.2122
 X_POSIX       1   read        5       825165824       200000000      5.2122      5.3599
 X_POSIX       1   read        6      1025165824       200000000      5.3600      5.5075
 X_POSIX       1   read        7      1225165824       200000000      5.5076      5.6526
 X_POSIX       1   read        8      1425165824       400000000      5.6527      5.9581
 X_POSIX       1   read        9      1825165824       100000000      5.9582      6.0318

# DXT, file_id: 688261604096148575, file_name: /pscratch/spwalto/haccTest/darshan-Part00000002-of-00000032.data
# DXT, rank: 2, hostname: ec2
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0        25165824       200000000      1.9458      2.1782
 X_POSIX       2  write        1       225165824       200000000      2.1782      2.4041
 X_POSIX       2  write        2       425165824       200000000      2.4042      2.6254
 X_POSIX       2  write        3       625165824       200000000      2.6254      2.8458
 X_POSIX       2  write        4       825165824       200000000      2.8459      3.0774
 X_POSIX       2  write        5      1025165824       200000000      3.0775      3.3267
 X_POSIX       2  write        6      1225165824       200000000      3.3267      3.5711
 X_POSIX       2  write        7      1425165824       400000000      3.5712      4.0416
 X_POSIX       2  write        8      1825165824       100000000      4.0417      4.1575
 X_POSIX       2  write        9               0        25165824      4.1575      4.1862
 X_POSIX       2   read        0               0        25165824      5.0517      5.0682
 X_POSIX       2   read        1        25165824       200000000      5.0696      5.2044
 X_POSIX       2   read        2       225165824       200000000      5.2045      5.3421
 X_POSIX       2   read        3       425165824       200000000      5.3422      5.4710
 X_POSIX       2   read        4       625165824       200000000      5.4710      5.6020
 X_POSIX       2   read        5       825165824       200000000      5.6021      5.7321
 X_POSIX       2   read        6      1025165824       200000000      5.7322      5.8650
 X_POSIX       2   read        7      1225165824       200000000      5.8650      5.9954
 X_POSIX       2   read        8      1425165824       400000000      5.9955      6.2645
 X_POSIX       2   read        9      1825165824       100000000      6.2646      6.3304

# DXT, file_id: 8041626340763145071, file_name: /pscratch/spwalto/haccTest/darshan-Part00000003-of-00000032.data
# DXT, rank: 3, hostname: ec2
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       3  write        0        25165824       200000000      2.8645      3.0890
 X_POSIX       3  write        1       225165824       200000000      3.0892      3.3168
 X_POSIX       3  write        2       425165824       200000000      3.3169      3.5494
 X_POSIX       3  write        3       625165824       200000000      3.5496      3.7855
 X_POSIX       3  write        4       825165824       200000000      3.7856      4.0228
 X_POSIX       3  write        5      1025165824       200000000      4.0229      4.2650
 X_POSIX       3  write        6      1225165824       200000000      4.2651      4.4881
 X_POSIX       3  write        7      1425165824       400000000      4.4881      4.9152
 X_POSIX       3  write        8      1825165824       100000000      4.9154      5.0219
 X_POSIX       3  write        9               0        25165824      5.0220      5.0475
 X_POSIX       3   read        0               0        25165824      5.0517      5.0642
 X_POSIX       3   read        1        25165824       200000000      5.0658      5.1940
 X_POSIX       3   read        2       225165824       200000000      5.1941      5.3133
 X_POSIX       3   read        3       425165824       200000000      5.3134      5.4333
 X_POSIX       3   read        4       625165824       200000000      5.4334      5.5504
 X_POSIX       3   read        5       825165824       200000000      5.5505      5.6736
 X_POSIX       3   read        6      1025165824       200000000      5.6736      5.7952
 X_POSIX       3   read        7      1225165824       200000000      5.7953      5.9171
 X_POSIX       3   read        8      1425165824       400000000      5.9172      6.1619
 X_POSIX       3   read        9      1825165824       100000000      6.1620      6.2233

# DXT, file_id: 15107931838529066586, file_name: /pscratch/spwalto/haccTest/darshan-Part00000004-of-00000032.data
# DXT, rank: 4, hostname: ec3
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       4  write        0        25165824       200000000      1.7167      1.9307
 X_POSIX       4  write        1       225165824       200000000      1.9308      2.1552
 X_POSIX       4  write        2       425165824       200000000      2.1553      2.3854
 X_POSIX       4  write        3       625165824       200000000      2.3855      2.6101
 X_POSIX       4  write        4       825165824       200000000      2.6101      2.8416
 X_POSIX       4  write        5      1025165824       200000000      2.8417      3.0787
 X_POSIX       4  write        6      1225165824       200000000      3.0788      3.3154
 X_POSIX       4  write        7      1425165824       400000000      3.3155      3.7769
 X_POSIX       4  write        8      1825165824       100000000      3.7771      3.8920
 X_POSIX       4  write        9               0        25165824      3.8921      3.9199
 X_POSIX       4   read        0               0        25165824      4.5489      4.5635
 X_POSIX       4   read        1        25165824       200000000      4.5650      4.6879
 X_POSIX       4   read        2       225165824       200000000      4.6880      4.8086
 X_POSIX       4   read        3       425165824       200000000      4.8087      4.9339
 X_POSIX       4   read        4       625165824       200000000      4.9340      5.0544
 X_POSIX       4   read        5       825165824       200000000      5.0545      5.1752
 X_POSIX       4   read        6      1025165824       200000000      5.1753      5.2966
 X_POSIX       4   read        7      1225165824       200000000      5.2966      5.4143
 X_POSIX       4   read        8      1425165824       400000000      5.4144      5.6595
 X_POSIX       4   read        9      1825165824       100000000      5.6595      5.7202

# DXT, file_id: 16469326234947104427, file_name: /pscratch/spwalto/haccTest/darshan-Part00000005-of-00000032.data
# DXT, rank: 5, hostname: ec3
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       5  write        0        25165824       200000000      1.9978      2.2256
 X_POSIX       5  write        1       225165824       200000000      2.2258      2.4382
 X_POSIX       5  write        2       425165824       200000000      2.4383      2.6574
 X_POSIX       5  write        3       625165824       200000000      2.6574      2.8789
 X_POSIX       5  write        4       825165824       200000000      2.8790      3.1043
 X_POSIX       5  write        5      1025165824       200000000      3.1044      3.3365
 X_POSIX       5  write        6      1225165824       200000000      3.3366      3.5689
 X_POSIX       5  write        7      1425165824       400000000      3.5689      4.0103
 X_POSIX       5  write        8      1825165824       100000000      4.0105      4.1128
 X_POSIX       5  write        9               0        25165824      4.1129      4.1376
 X_POSIX       5   read        0               0        25165824      4.1406      4.1535
 X_POSIX       5   read        1        25165824       200000000      4.1553      4.2694
 X_POSIX       5   read        2       225165824       200000000      4.2695      4.3804
 X_POSIX       5   read        3       425165824       200000000      4.3804      4.4900
 X_POSIX       5   read        4       625165824       200000000      4.4900      4.6022
 X_POSIX       5   read        5       825165824       200000000      4.6022      4.7116
 X_POSIX       5   read        6      1025165824       200000000      4.7116      4.8215
 X_POSIX       5   read        7      1225165824       200000000      4.8215      4.9319
 X_POSIX       5   read        8      1425165824       400000000      4.9320      5.1582
 X_POSIX       5   read        9      1825165824       100000000      5.1583      5.2138

# DXT, file_id: 11250573249789628784, file_name: /pscratch/spwalto/haccTest/darshan-Part00000006-of-00000032.data
# DXT, rank: 6, hostname: ec4
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       6  write        0        25165824       200000000      1.6618      1.8823
 X_POSIX       6  write        1       225165824       200000000      1.8825      2.1111
 X_POSIX       6  write        2       425165824       200000000      2.1112      2.3427
 X_POSIX       6  write        3       625165824       200000000      2.3428      2.5888
 X_POSIX       6  write        4       825165824       200000000      2.5889      2.8251
 X_POSIX       6  write        5      1025165824       200000000      2.8252      3.0738
 X_POSIX       6  write        6      1225165824       200000000      3.0739      3.3196
 X_POSIX       6  write        7      1425165824       400000000      3.3197      3.7933
 X_POSIX       6  write        8      1825165824       100000000      3.7934      3.9115
 X_POSIX       6  write        9               0        25165824      3.9116      3.9411
 X_POSIX       6   read        0               0        25165824      4.5311      4.5485
 X_POSIX       6   read        1        25165824       200000000      4.5498      4.6880
 X_POSIX       6   read        2       225165824       200000000      4.6881      4.8186
 X_POSIX       6   read        3       425165824       200000000      4.8187      4.9470
 X_POSIX       6   read        4       625165824       200000000      4.9471      5.0728
 X_POSIX       6   read        5       825165824       200000000      5.0729      5.1956
 X_POSIX       6   read        6      1025165824       200000000      5.1956      5.3178
 X_POSIX       6   read        7      1225165824       200000000      5.3179      5.4398
 X_POSIX       6   read        8      1425165824       400000000      5.4399      5.6977
 X_POSIX       6   read        9      1825165824       100000000      5.6978      5.7591

# DXT, file_id: 5644758706384895531, file_name: /pscratch/spwalto/haccTest/darshan-Part00000007-of-00000032.data
# DXT, rank: 7, hostname: ec4
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       7  write        0        25165824       200000000      2.2882      2.5360
 X_POSIX       7  write        1       225165824       200000000      2.5362      2.7629
 X_POSIX       7  write        2       425165824       200000000      2.7630      2.9894
 X_POSIX       7  write        3       625165824       200000000      2.9895      3.2144
 X_POSIX       7  write        4       825165824       200000000      3.2145      3.4518
 X_POSIX       7  write        5      1025165824       200000000      3.4519      3.6988
 X_POSIX       7  write        6      1225165824       200000000      3.6989      3.9455
 X_POSIX       7  write        7      1425165824       400000000      3.9456      4.3908
 X_POSIX       7  write        8      1825165824       100000000      4.3909      4.5003
 X_POSIX       7  write        9               0        25165824      4.5004      4.5274
 X_POSIX       7   read        0               0        25165824      4.5309      4.5472
 X_POSIX       7   read        1        25165824       200000000      4.5485      4.6787
 X_POSIX       7   read        2       225165824       200000000      4.6788      4.7998
 X_POSIX       7   read        3       425165824       200000000      4.7999      4.9220
 X_POSIX       7   read        4       625165824       200000000      4.9221      5.0405
 X_POSIX       7   read        5       825165824       200000000      5.0405      5.1583
 X_POSIX       7   read        6      1025165824       200000000      5.1584      5.2787
 X_POSIX       7   read        7      1225165824       200000000      5.2788      5.3970
 X_POSIX       7   read        8      1425165824       400000000      5.3971      5.6357
 X_POSIX       7   read        9      1825165824       100000000      5.6357      5.6957

# DXT, file_id: 6713185938115530105, file_name: /pscratch/spwalto/haccTest/darshan-Part00000008-of-00000032.data
# DXT, rank: 8, hostname: ec5
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       8  write        0        25165824       200000000      1.6583      1.8676
 X_POSIX       8  write        1       225165824       200000000      1.8677      2.0785
 X_POSIX       8  write        2       425165824       200000000      2.0786      2.2986
 X_POSIX       8  write        3       625165824       200000000      2.2986      2.5287
 X_POSIX       8  write        4       825165824       200000000      2.5288      2.7614
 X_POSIX       8  write        5      1025165824       200000000      2.7614      3.0023
 X_POSIX       8  write        6      1225165824       200000000      3.0024      3.2468
 X_POSIX       8  write        7      1425165824       400000000      3.2469      3.7187
 X_POSIX       8  write        8      1825165824       100000000      3.7188      3.8343
 X_POSIX       8  write        9               0        25165824      3.8344      3.8631
