# darshan log version: 3.41
# compression method: ZLIB
# exe: 
# uid: 12345
# jobid: 17209746
# start_time: 1694922536
# start_time_asci: Sat Sep 16 21:48:56 2023
# end_time: 1694922544
# end_time_asci: Sat Sep 16 21:49:04 2023
# nprocs: 32
# run time: 7.6507
# metadata: lib_ver = 3.4.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 143 bytes (compressed)
# record table: 2416 bytes (compressed)
# POSIX module: 5671 bytes (compressed), ver=4
# LUSTRE module: 1203 bytes (compressed), ver=1
# STDIO module: 56 bytes (compressed), ver=2
# DXT_POSIX module: 10333 bytes (compressed), ver=1
# HEATMAP module: 6591 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 11565115021251038815, file_name: /pscratch/user/haccTest/darshan-Part00000000-of-00000032.data
# DXT, rank: 0, hostname: ec1
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824       200000000      1.4936      1.7258
 X_POSIX       0  write        1       225165824       200000000      1.7260      1.9467
 X_POSIX       0  write        2       425165824       200000000      1.9468      2.1754
 X_POSIX       0  write        3       625165824       200000000      2.1755      2.4069
 X_POSIX       0  write        4       825165824       200000000      2.4070      2.6431
 X_POSIX       0  write        5      1025165824       200000000      2.6432      2.8875
 X_POSIX       0  write        6      1225165824       200000000      2.8875      3.1401
 X_POSIX       0  write        7      1425165824       400000000      3.1402      3.6118
 X_POSIX       0  write        8      1825165824       100000000      3.6118      3.7289
 X_POSIX       0  write        9               0        25165824      3.7290      3.7563
 X_POSIX       0   read        0               0        25165824      4.9846      5.0045
 X_POSIX       0   read        1        25165824       200000000      5.0063      5.1417
 X_POSIX       0   read        2       225165824       200000000      5.1418      5.2775
 X_POSIX       0   read        3       425165824       200000000      5.2775      5.4131
 X_POSIX       0   read        4       625165824       200000000      5.4131      5.5435
 X_POSIX       0   read        5       825165824       200000000      5.5435      5.6752
 X_POSIX       0   read        6      1025165824       200000000      5.6752      5.8071
 X_POSIX       0   read        7      1225165824       200000000      5.8071      5.9373
 X_POSIX       0   read        8      1425165824       400000000      5.9373      6.2054
 X_POSIX       0   read        9      1825165824       100000000      6.2054      6.2735

# DXT, file_id: 10331366759179474848, file_name: /pscratch/user/haccTest/darshan-Part00000001-of-00000032.data
# DXT, rank: 1, hostname: ec1
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0        25165824       200000000      1.5088      1.7342
 X_POSIX       1  write        1       225165824       200000000      1.7343      1.9474
 X_POSIX       1  write        2       425165824       200000000      1.9474      2.1738
 X_POSIX       1  write        3       625165824       200000000      2.1739      2.4008
 X_POSIX       1  write        4       825165824       200000000      2.4009      2.6329
 X_POSIX       1  write        5      1025165824       200000000      2.6329      2.8677
 X_POSIX       1  write        6      1225165824       200000000      2.8678      3.1128
 X_POSIX       1  write        7      1425165824       400000000      3.1129      3.5807
 X_POSIX       1  write        8      1825165824       100000000      3.5808      3.6947
 X_POSIX       1  write        9               0        25165824      3.6948      3.7225
 X_POSIX       1   read        0               0        25165824      3.7263      3.7404
 X_POSIX       1   read        1        25165824       200000000      3.7419      3.8791
 X_POSIX       1   read        2       225165824       200000000      3.8793      4.0048
 X_POSIX       1   read        3       425165824       200000000      4.0048      4.1283
 X_POSIX       1   read        4       625165824       200000000      4.1283      4.2530
 X_POSIX       1   read        5       825165824       200000000      4.2530      4.3805
 X_POSIX       1   read        6      1025165824       200000000      4.3806      4.5069
 X_POSIX       1   read        7      1225165824       200000000      4.5070      4.6369
 X_POSIX       1   read        8      1425165824       400000000      4.6370      4.9013
 X_POSIX       1   read        9      1825165824       100000000      4.9014      4.9675

# DXT, file_id: 688261604096148575, file_name: /pscratch/user/haccTest/darshan-Part00000002-of-00000032.data
# DXT, rank: 2, hostname: ec2
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0        25165824       200000000      1.4916      1.7061
 X_POSIX       2  write        1       225165824       200000000      1.7062      1.9415
 X_POSIX       2  write        2       425165824       200000000      1.9416      2.1608
 X_POSIX       2  write        3       625165824       200000000      2.1609      2.3905
 X_POSIX       2  write        4       825165824       200000000      2.3906      2.6212
 X_POSIX       2  write        5      1025165824       200000000      2.6212      2.8649
 X_POSIX       2  write        6      1225165824       200000000      2.8650      3.1199
 X_POSIX       2  write        7      1425165824       400000000      3.1200      3.6058
 X_POSIX       2  write        8      1825165824       100000000      3.6059      3.7280
 X_POSIX       2  write        9               0        25165824      3.7281      3.7556
 X_POSIX       2   read        0               0        25165824      4.9617      4.9779
 X_POSIX       2   read        1        25165824       200000000      4.9798      5.1087
 X_POSIX       2   read        2       225165824       200000000      5.1087      5.2311
 X_POSIX       2   read        3       425165824       200000000      5.2312      5.3567
 X_POSIX       2   read        4       625165824       200000000      5.3567      5.4792
 X_POSIX       2   read        5       825165824       200000000      5.4793      5.6015
 X_POSIX       2   read        6      1025165824       200000000      5.6015      5.7230
 X_POSIX       2   read        7      1225165824       200000000      5.7230      5.8460
 X_POSIX       2   read        8      1425165824       400000000      5.8461      6.0894
 X_POSIX       2   read        9      1825165824       100000000      6.0894      6.1504

# DXT, file_id: 8041626340763145071, file_name: /pscratch/user/haccTest/darshan-Part00000003-of-00000032.data
# DXT, rank: 3, hostname: ec2
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       3  write        0        25165824       200000000      2.7963      3.0366
 X_POSIX       3  write        1       225165824       200000000      3.0367      3.2592
 X_POSIX       3  write        2       425165824       200000000      3.2593      3.4915
 X_POSIX       3  write        3       625165824       200000000      3.4915      3.7272
 X_POSIX       3  write        4       825165824       200000000      3.7273      3.9473
 X_POSIX       3  write        5      1025165824       200000000      3.9474      4.1776
 X_POSIX       3  write        6      1225165824       200000000      4.1777      4.4025
 X_POSIX       3  write        7      1425165824       400000000      4.4026      4.8270
 X_POSIX       3  write        8      1825165824       100000000      4.8272      4.9313
 X_POSIX       3  write        9               0        25165824      4.9314      4.9569
 X_POSIX       3   read        0               0        25165824      4.9615      4.9744
 X_POSIX       3   read        1        25165824       200000000      4.9764      5.1037
 X_POSIX       3   read        2       225165824       200000000      5.1038      5.2277
 X_POSIX       3   read        3       425165824       200000000      5.2277      5.3537
 X_POSIX       3   read        4       625165824       200000000      5.3538      5.4769
 X_POSIX       3   read        5       825165824       200000000      5.4770      5.5985
 X_POSIX       3   read        6      1025165824       200000000      5.5986      5.7206
 X_POSIX       3   read        7      1225165824       200000000      5.7206      5.8402
 X_POSIX       3   read        8      1425165824       400000000      5.8403      6.0828
 X_POSIX       3   read        9      1825165824       100000000      6.0828      6.1427

# DXT, file_id: 15107931838529066586, file_name: /pscratch/user/haccTest/darshan-Part00000004-of-00000032.data
# DXT, rank: 4, hostname: ec3
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       4  write        0        25165824       200000000      2.1209      2.3404
 X_POSIX       4  write        1       225165824       200000000      2.3405      2.5594
 X_POSIX       4  write        2       425165824       200000000      2.5595      2.7836
 X_POSIX       4  write        3       625165824       200000000      2.7837      3.0055
 X_POSIX       4  write        4       825165824       200000000      3.0055      3.2331
 X_POSIX       4  write        5      1025165824       200000000      3.2332      3.4691
 X_POSIX       4  write        6      1225165824       200000000      3.4692      3.7041
 X_POSIX       4  write        7      1425165824       400000000      3.7042      4.1438
 X_POSIX       4  write        8      1825165824       100000000      4.1440      4.2496
 X_POSIX       4  write        9               0        25165824      4.2497      4.2754
 X_POSIX       4   read        0               0        25165824      4.2791      4.2927
 X_POSIX       4   read        1        25165824       200000000      4.2945      4.4153
 X_POSIX       4   read        2       225165824       200000000      4.4154      4.5350
 X_POSIX       4   read        3       425165824       200000000      4.5350      4.6530
 X_POSIX       4   read        4       625165824       200000000      4.6530      4.7685
 X_POSIX       4   read        5       825165824       200000000      4.7686      4.8862
 X_POSIX       4   read        6      1025165824       200000000      4.8862      5.0010
