timestamp,component_id,job_id,app_id,rchar,wchar,syscr,syscw,read_bytes,write_bytes,cancelled_write_bytes,pid,ppid,minflt,cminflt,majflt,cmajflt,utime,stime,cutime,cstime,priority,nice,num_threads,vsize,rss,rsslim,signal,processor,rt_priority,policy,delayacct_blkio_ticks,VmSize,VmRSS,share_pages,text_pages,lib_pages,data_pages,dirty_pages,fd_count,fd_max,fd_socket,fd_dev,fd_anon_inode,fd_pipe,fd_path
1694923080.003598,600003,17209783,0,2254599148,38287208,13366004,13366004,3989504,0,0,14452,1,1419802,0,11,0,6759,38155,0,0,20,0,43,3180515328,2484,18446744073709551,0,2,0,0,4,776493,2484,862,60,0,742059,0,421,453,5,2,400,8,6
1694923080.003692,600005,17209783,0,2240303076,38256762,13449143,13449143,3928064,0,0,14473,1,1419050,0,10,0,6448,36898,0,0,20,0,39,2878582784,2378,18446744073709551,0,48,0,0,3,702779,2378,860,60,0,668345,0,418,445,5,2,396,8,7
1694923080.003727,600018,17209783,0,78154621196,1001326950,376580344,376580344,4374528,0,0,7224,1,37330005,0,24,0,236733,1038125,0,0,20,0,44,3256016896,2486,18446744073709551,0,1,0,0,2,794926,2486,801,60,0,760492,0,424,455,6,2,401,8,7
1694923080.003750,600007,17209783,0,2076545922,38281428,13444710,13444710,3928064,0,0,14460,1,1422280,0,10,0,5760,35359,0,0,20,0,29,2123567104,2150,18446744073709551,0,2,0,0,3,518449,2150,864,60,0,484015,0,408,422,5,2,386,8,6
1694923080.003784,600017,17209783,0,2296461570,38198851,13714070,13714070,3928064,0,0,14460,1,1418485,0,10,0,6350,37013,0,0,20,0,34,2501005312,2763,18446744073709551,0,6,0,0,4,610597,2763,860,60,0,576163,0,412,435,5,2,391,8,6
1694923080.003827,600013,17209783,0,76275411702,1000916811,378460824,378460824,2310144,0,0,74561,1,37372505,0,20,0,233448,1052364,0,0,20,0,44,3256098816,2582,18446744073709551,0,1,0,0,2,794944,2582,865,60,0,760510,0,423,455,6,2,401,8,6
1694923080.004025,600004,17209783,0,76112507743,1000442434,378462256,378462256,554053632,0,0,243298,1,37365514,0,3109,0,235532,1053286,0,0,20,0,44,3256090624,2004,18446744073709551,0,46,0,0,24173,794944,2004,242,60,0,760510,0,424,455,6,2,401,8,6
1694923080.004101,600016,17209783,0,73569504954,1001014952,373670145,373670145,4292608,0,0,245725,1,37351162,0,23,0,224996,1038152,0,0,20,0,44,3256020992,2546,18446744073709551,0,5,0,0,2,794926,2546,864,60,0,760492,0,423,455,6,2,401,8,6
1694923080.004251,600015,17209783,0,74347251304,1000781489,372081789,372081789,29769728,0,0,28251,1,37246357,0,180,0,221253,1029763,0,0,20,0,44,3256016896,1947,18446744073709551,0,19,0,0,12,794928,1947,231,60,0,760494,0,425,455,7,2,401,8,7
1694923080.004302,600010,17209783,0,10714655361,155870839,57348808,57348808,3928064,0,0,14935,1,5804046,0,10,0,33455,161202,0,0,20,0,44,3256094720,2525,18446744073709551,0,48,0,0,3,794945,2525,865,60,0,760511,0,423,455,5,2,401,8,7
1694923080.004327,600014,17209783,0,74430180036,1000712490,379632647,379632647,2875392,0,0,103976,1,37335787,0,21,0,232477,1046575,0,0,20,0,44,3256020992,2559,18446744073709551,0,46,0,0,2,794926,2559,865,60,0,760492,0,423,455,6,2,401,8,6
1694923080.004469,600011,17209783,0,75010092278,1000862341,379145896,379145896,152915968,0,0,247672,1,37371433,0,877,0,233475,1044349,0,0,20,0,44,3256090624,2004,18446744073709551,0,12,0,0,2,794945,2004,271,60,0,760511,0,424,455,6,2,401,8,7
1694923080.004477,600006,17209783,0,78163181861,1000167686,377393284,377393284,221237248,0,0,236689,1,37284836,0,1227,0,243280,1058516,0,0,20,0,44,3256020992,2025,18446744073709551,0,52,0,0,70592,794926,2025,270,60,0,760492,0,424,455,6,2,401,8,7
1694923080.004552,600012,17209783,0,75910223428,1000719252,377790951,377790951,467386368,0,0,132126,1,37379546,0,2412,0,234702,1045680,0,0,20,0,44,3256020992,1962,18446744073709551,0,36,0,0,2,794927,1962,252,60,0,760493,0,424,456,6,2,401,8,6
1694923080.004638,600008,17209783,0,2297634580,38309326,14256453,14256453,3928064,0,0,14480,1,1433132,0,10,0,7341,39117,0,0,20,0,43,3180589056,2483,18446744073709551,0,9,0,0,3,776513,2483,864,60,0,742079,0,422,453,5,2,400,8,7
1694923080.005341,600009,17209783,0,2518924493,38337339,15842673,15842673,3928064,0,0,14460,1,1441475,0,10,0,9317,41464,0,0,20,0,42,3105013760,2462,18446744073709551,0,11,0,0,3,758060,2462,864,60,0,723626,0,421,451,5,2,399,8,7
