timestamp,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,Percpu,HardwareCorrupted,AnonHugePages,CmaTotal,CmaFree,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,DirectMap4k,DirectMap2M,DirectMap1G
1694923010.009200,600004,17209778,0,131928928,116169728,117453396,0,2179544,0,8975800,2170180,8967976,430588,7824,1739592,1048576,1048576,0,0,8192,0,10017772,270988,431096,857824,102680,755144,27904,27496,0,0,0,65964464,0,34359738367,1395972,34290194216,18880,0,0,0,0,0,0,0,0,2048,976144,72327168,62914560
1694923010.009519,600012,17209778,0,131928928,115268236,117055104,0,2712420,0,9306272,2704436,9300780,462888,5492,2241548,1048576,1048576,0,0,6240,5456,10351436,265732,464788,896576,108808,787768,26672,30516,0,0,0,65964464,10705784,34359738367,1391552,34291051328,17920,0,0,0,0,0,0,0,0,2048,939280,47198208,88080384
1694923010.010753,600007,17209778,0,131928928,118402872,119803540,0,1916080,0,7806740,1898924,7789360,32912,17380,1866012,1048576,1048576,0,0,4656,4080,8837720,116692,33376,575636,64896,510740,19264,23132,0,0,0,65964464,9187780,34359738367,1227232,34291228884,17920,0,1107968,0,0,0,0,0,0,2048,230672,7012352,128974848
1694923010.011057,600018,17209778,0,131928928,115663268,118008444,0,3322416,0,8394016,3305408,8378852,521676,15164,2783732,1048576,1048576,0,0,5864,9792,9426068,230776,523328,970288,119544,850744,23952,26076,0,0,0,65964464,9960448,34359738367,1260096,34291189640,18880,0,0,0,0,0,0,0,0,2048,959760,66052096,69206016
1694923010.012010,600006,17209778,0,131928928,116406036,117520000,0,1992292,0,9012604,1985444,9005484,414432,7120,1571012,1048576,1048576,0,0,6240,7984,10054560,302692,415360,787252,100748,686504,28656,28192,0,0,0,65964464,5698436,34359738367,1391552,34291012300,18880,0,0,0,0,0,0,0,0,2048,1334544,109717504,25165824
1694923010.012791,600014,17209778,0,131928928,116881024,118330372,0,2429352,0,8364376,2410104,8346760,503800,17616,1906304,1048576,1048576,0,0,7520,8272,9395060,163712,504696,700432,77680,622752,23984,27352,0,0,0,65964464,9916324,34359738367,1235448,34291213984,18880,0,0,0,0,0,0,0,0,2048,998672,55527424,79691776
1694923010.012836,600016,17209778,0,131928928,117424536,118303116,0,1888544,0,8411240,1864828,8387768,537124,23472,1327704,1048576,1048576,0,0,5600,1856,9435916,217688,537828,633128,84032,549096,22480,25624,0,0,0,65964464,9930964,34359738367,1276528,34291212348,18880,0,0,0,0,0,0,0,0,2048,918800,40927232,94371840
1694923011.001679,600017,17209778,0,131928928,115496356,119461516,0,4476732,0,7790112,4459828,7772644,32884,17468,4426944,1048576,1048576,0,0,7132,1360,8821128,116632,33376,931228,70656,860572,18288,22892,0,0,0,65964464,9194156,34359738367,1227232,34291212336,17920,0,1122304,0,0,0,0,0,0,2048,249104,5945344,130023424
1694923011.001686,600014,17209778,0,131928928,114931892,118106740,0,4150032,0,8362748,4130528,8343292,504336,19456,3626192,1048576,1048576,0,0,327812,14352,9391492,163764,505012,934976,86344,848632,23504,25548,0,0,0,65964464,9916324,34359738367,1235448,34291213984,18880,0,0,0,0,0,0,0,0,2048,998672,55527424,79691776
1694923011.001700,600006,17209778,0,131928928,114562876,117311944,0,3624132,0,9012620,3617332,9005500,414432,7120,3202900,1048576,1048576,0,0,140724,8736,10054568,302692,415360,997612,108268,889344,28656,28196,0,0,0,65964464,5698436,34359738367,1391552,34291012300,18880,0,0,0,0,0,0,0,0,2048,1334544,109717504,25165824
