# darshan log version: 3.41
# compression method: ZLIB
# exe: 
# uid: 99066
# jobid: 19040582
# start_time: 1713473476
# start_time_asci: Thu Apr 18 14:51:16 2024
# end_time: 1713473480
# end_time_asci: Thu Apr 18 14:51:20 2024
# nprocs: 36
# run time: 4.5939
# metadata: lib_ver = 3.4.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 156 bytes (compressed)
# record table: 2086 bytes (compressed)
# POSIX module: 5470 bytes (compressed), ver=4
# LUSTRE module: 1354 bytes (compressed), ver=1
# STDIO module: 57 bytes (compressed), ver=2
# DXT_POSIX module: 93020 bytes (compressed), ver=1
# HEATMAP module: 5503 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 15866050084617259568, file_name: /pscratch/spwalto/iorTest/darshan.00000000
# DXT, rank: 0, hostname: ec20
# DXT, write_count: 128, read_count: 128
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0         4194304      0.1086      0.1369
 X_POSIX       0  write        1         4194304         4194304      0.1369      0.1415
 X_POSIX       0  write        2         8388608         4194304      0.1416      0.1462
 X_POSIX       0  write        3        12582912         4194304      0.1463      0.1510
 X_POSIX       0  write        4        16777216         4194304      0.1510      0.1557
 X_POSIX       0  write        5        20971520         4194304      0.1558      0.1605
 X_POSIX       0  write        6        25165824         4194304      0.1605      0.1655
 X_POSIX       0  write        7        29360128         4194304      0.1655      0.1707
 X_POSIX       0  write        8        33554432         4194304      0.1707      0.1762
 X_POSIX       0  write        9        37748736         4194304      0.1763      0.1816
 X_POSIX       0  write       10        41943040         4194304      0.1816      0.1868
 X_POSIX       0  write       11        46137344         4194304      0.1868      0.1921
 X_POSIX       0  write       12        50331648         4194304      0.1921      0.1971
 X_POSIX       0  write       13        54525952         4194304      0.1972      0.2022
 X_POSIX       0  write       14        58720256         4194304      0.2022      0.2073
 X_POSIX       0  write       15        62914560         4194304      0.2074      0.2126
 X_POSIX       0  write       16        67108864         4194304      0.2127      0.2177
 X_POSIX       0  write       17        71303168         4194304      0.2178      0.2229
 X_POSIX       0  write       18        75497472         4194304      0.2230      0.2285
 X_POSIX       0  write       19        79691776         4194304      0.2285      0.2345
 X_POSIX       0  write       20        83886080         4194304      0.2346      0.2407
 X_POSIX       0  write       21        88080384         4194304      0.2408      0.2469
 X_POSIX       0  write       22        92274688         4194304      0.2470      0.2531
 X_POSIX       0  write       23        96468992         4194304      0.2531      0.2587
 X_POSIX       0  write       24       100663296         4194304      0.2588      0.2643
 X_POSIX       0  write       25       104857600         4194304      0.2644      0.2701
 X_POSIX       0  write       26       109051904         4194304      0.2702      0.2760
 X_POSIX       0  write       27       113246208         4194304      0.2761      0.2819
 X_POSIX       0  write       28       117440512         4194304      0.2819      0.2879
 X_POSIX       0  write       29       121634816         4194304      0.2879      0.2938
 X_POSIX       0  write       30       125829120         4194304      0.2939      0.2999
 X_POSIX       0  write       31       130023424         4194304      0.2999      0.3059
 X_POSIX       0  write       32       134217728         4194304      0.3060      0.3118
 X_POSIX       0  write       33       138412032         4194304      0.3118      0.3175
 X_POSIX       0  write       34       142606336         4194304      0.3176      0.3234
 X_POSIX       0  write       35       146800640         4194304      0.3234      0.3296
