# darshan log version: 3.41
# compression method: ZLIB
# exe: 
# uid: 12345
# jobid: 17532847
# start_time: 1698017133
# start_time_asci: Sun Oct 22 17:25:33 2023
# end_time: 1698017133
# end_time_asci: Sun Oct 22 17:25:33 2023
# nprocs: 36
# run time: 0.1615
# metadata: lib_ver = 3.4.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 148 bytes (compressed)
# record table: 1477 bytes (compressed)
# POSIX module: 5168 bytes (compressed), ver=4
# STDIO module: 55 bytes (compressed), ver=2
# DXT_POSIX module: 46512 bytes (compressed), ver=1
# HEATMAP module: 2068 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 7711282363374148566, file_name: /tmp/tmp.dJNPwjm8QH.00000000
# DXT, rank: 0, hostname: n4
# DXT, write_count: 72, read_count: 72
# DXT, mnt_pt: UNKNOWN, fs_type: UNKNOWN
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0         1048576      0.0266      0.0273
 X_POSIX       0  write        1         1048576         1048576      0.0273      0.0280
 X_POSIX       0  write        2         2097152         1048576      0.0280      0.0287
 X_POSIX       0  write        3         3145728         1048576      0.0287      0.0294
 X_POSIX       0  write        4         4194304         1048576      0.0294      0.0301
 X_POSIX       0  write        5         5242880         1048576      0.0301      0.0308
 X_POSIX       0  write        6         6291456         1048576      0.0308      0.0315
 X_POSIX       0  write        7         7340032         1048576      0.0316      0.0322
 X_POSIX       0  write        8         8388608         1048576      0.0323      0.0330
 X_POSIX       0  write        9         9437184         1048576      0.0330      0.0336
 X_POSIX       0  write       10        10485760         1048576      0.0337      0.0343
 X_POSIX       0  write       11        11534336         1048576      0.0344      0.0350
 X_POSIX       0  write       12               0         1048576      0.0500      0.0505
 X_POSIX       0  write       13         1048576         1048576      0.0505      0.0512
 X_POSIX       0  write       14         2097152         1048576      0.0513      0.0519
 X_POSIX       0  write       15         3145728         1048576      0.0520      0.0526
 X_POSIX       0  write       16         4194304         1048576      0.0527      0.0533
 X_POSIX       0  write       17         5242880         1048576      0.0534      0.0541
 X_POSIX       0  write       18         6291456         1048576      0.0541      0.0547
 X_POSIX       0  write       19         7340032         1048576      0.0548      0.0554
 X_POSIX       0  write       20         8388608         1048576      0.0555      0.0562
 X_POSIX       0  write       21         9437184         1048576      0.0562      0.0569
 X_POSIX       0  write       22        10485760         1048576      0.0570      0.0576
 X_POSIX       0  write       23        11534336         1048576      0.0578      0.0583
 X_POSIX       0  write       24               0         1048576      0.0737      0.0742
 X_POSIX       0  write       25         1048576         1048576      0.0743      0.0750
 X_POSIX       0  write       26         2097152         1048576      0.0750      0.0757
 X_POSIX       0  write       27         3145728         1048576      0.0757      0.0764
 X_POSIX       0  write       28         4194304         1048576      0.0765      0.0771
 X_POSIX       0  write       29         5242880         1048576      0.0772      0.0779
 X_POSIX       0  write       30         6291456         1048576      0.0779      0.0786
 X_POSIX       0  write       31         7340032         1048576      0.0787      0.0794
 X_POSIX       0  write       32         8388608         1048576      0.0794      0.0801
 X_POSIX       0  write       33         9437184         1048576      0.0801      0.0808
 X_POSIX       0  write       34        10485760         1048576      0.0809      0.0816
 X_POSIX       0  write       35        11534336         1048576      0.0816      0.0822
 X_POSIX       0  write       36               0         1048576      0.0979      0.0983
 X_POSIX       0  write       37         1048576         1048576      0.0984      0.0991
 X_POSIX       0  write       38         2097152         1048576      0.0991      0.0997
 X_POSIX       0  write       39         3145728         1048576      0.0998      0.1005
 X_POSIX       0  write       40         4194304         1048576      0.1005      0.1012
 X_POSIX       0  write       41         5242880         1048576      0.1013      0.1019
 X_POSIX       0  write       42         6291456         1048576      0.1020      0.1026
 X_POSIX       0  write       43         7340032         1048576      0.1026      0.1033
 X_POSIX       0  write       44         8388608         1048576      0.1033      0.1040
 X_POSIX       0  write       45         9437184         1048576      0.1041      0.1047
 X_POSIX       0  write       46        10485760         1048576      0.1048      0.1055
 X_POSIX       0  write       47        11534336         1048576      0.1055      0.1061
 X_POSIX       0  write       48               0         1048576      0.1221      0.1227
 X_POSIX       0  write       49         1048576         1048576      0.1227      0.1234
 X_POSIX       0  write       50         2097152         1048576      0.1234      0.1241
 X_POSIX       0  write       51         3145728         1048576      0.1242      0.1248
 X_POSIX       0  write       52         4194304         1048576      0.1249      0.1255
 X_POSIX       0  write       53         5242880         1048576      0.1256      0.1262
 X_POSIX       0  write       54         6291456         1048576      0.1263      0.1270
 X_POSIX       0  write       55         7340032         1048576      0.1270      0.1277
 X_POSIX       0  write       56         8388608         1048576      0.1277      0.1284
 X_POSIX       0  write       57         9437184         1048576      0.1284      0.1291
 X_POSIX       0  write       58        10485760         1048576      0.1291      0.1298
 X_POSIX       0  write       59        11534336         1048576      0.1298      0.1304
 X_POSIX       0  write       60               0         1048576      0.1463      0.1468
 X_POSIX       0  write       61         1048576         1048576      0.1468      0.1475
 X_POSIX       0  write       62         2097152         1048576      0.1476      0.1483
 X_POSIX       0  write       63         3145728         1048576      0.1483      0.1490
 X_POSIX       0  write       64         4194304         1048576      0.1490      0.1497
 X_POSIX       0  write       65         5242880         1048576      0.1497      0.1504
 X_POSIX       0  write       66         6291456         1048576      0.1504      0.1511
 X_POSIX       0  write       67         7340032         1048576      0.1512      0.1518
 X_POSIX       0  write       68         8388608         1048576      0.1519      0.1525
 X_POSIX       0  write       69         9437184         1048576      0.1526      0.1533
 X_POSIX       0  write       70        10485760         1048576      0.1533      0.1540
 X_POSIX       0  write       71        11534336         1048576      0.1541      0.1546
 X_POSIX       0   read        0               0         1048576      0.0360      0.0366
 X_POSIX       0   read        1         1048576         1048576      0.0367      0.0373
 X_POSIX       0   read        2         2097152         1048576      0.0373      0.0378
 X_POSIX       0   read        3         3145728         1048576      0.0379      0.0384
 X_POSIX       0   read        4         4194304         1048576      0.0385      0.0390
 X_POSIX       0   read        5         5242880         1048576      0.0390      0.0395
 X_POSIX       0   read        6         6291456         1048576      0.0396      0.0401
 X_POSIX       0   read        7         7340032         1048576      0.0402      0.0406
 X_POSIX       0   read        8         8388608         1048576      0.0407      0.0412
 X_POSIX       0   read        9         9437184         1048576      0.0413      0.0418
 X_POSIX       0   read       10        10485760         1048576      0.0418      0.0423
 X_POSIX       0   read       11        11534336         1048576      0.0424      0.0429
 X_POSIX       0   read       12               0         1048576      0.0590      0.0596
 X_POSIX       0   read       13         1048576         1048576      0.0597      0.0603
 X_POSIX       0   read       14         2097152         1048576      0.0603      0.0609
 X_POSIX       0   read       15         3145728         1048576      0.0610      0.0615
 X_POSIX       0   read       16         4194304         1048576      0.0615      0.0621
 X_POSIX       0   read       17         5242880         1048576      0.0621      0.0626
 X_POSIX       0   read       18         6291456         1048576      0.0627      0.0632
 X_POSIX       0   read       19         7340032         1048576      0.0633      0.0638
 X_POSIX       0   read       20         8388608         1048576      0.0639      0.0644
 X_POSIX       0   read       21         9437184         1048576      0.0644      0.0650
 X_POSIX       0   read       22        10485760         1048576      0.0650      0.0655
 X_POSIX       0   read       23        11534336         1048576      0.0656      0.0661
 X_POSIX       0   read       24               0         1048576      0.0833      0.0840
 X_POSIX       0   read       25         1048576         1048576      0.0840      0.0846
 X_POSIX       0   read       26         2097152         1048576      0.0846      0.0852
 X_POSIX       0   read       27         3145728         1048576      0.0852      0.0858
 X_POSIX       0   read       28         4194304         1048576      0.0859      0.0864
 X_POSIX       0   read       29         5242880         1048576      0.0865      0.0870
 X_POSIX       0   read       30         6291456         1048576      0.0871      0.0876
 X_POSIX       0   read       31         7340032         1048576      0.0877      0.0882
 X_POSIX       0   read       32         8388608         1048576      0.0883      0.0888
 X_POSIX       0   read       33         9437184         1048576      0.0888      0.0894
 X_POSIX       0   read       34        10485760         1048576      0.0894      0.0900
 X_POSIX       0   read       35        11534336         1048576      0.0900      0.0905
 X_POSIX       0   read       36               0         1048576      0.1074      0.1081
 X_POSIX       0   read       37         1048576         1048576      0.1082      0.1088
 X_POSIX       0   read       38         2097152         1048576      0.1088      0.1093
 X_POSIX       0   read       39         3145728         1048576      0.1094      0.1099
 X_POSIX       0   read       40         4194304         1048576      0.1100      0.1105
 X_POSIX       0   read       41         5242880         1048576      0.1106      0.1111
 X_POSIX       0   read       42         6291456         1048576      0.1112      0.1117
